100,27.276000,28.329000
1000,29.333000,30.607000
10000,31.594000,31.794000
100000,31.502000,29.897000
1000000,39.690000,39.025000
10000000,182.390000,165.999000
20000000,355.453000,322.988000
30000000,519.640000,479.067000
40000000,628.907000,681.232000
50000000,841.763000,777.951000
60000000,935.437000,1015.699000
70000000,1074.127000,1173.979000
80000000,1231.557000,1346.827000
90000000,1390.636000,1511.756000
100000000,1557.076000,1695.360000
110000000,1736.704000,1882.540000
120000000,1904.111000,2061.732000
130000000,2209.505000,2031.678000
140000000,2211.366000,2403.064000
150000000,2385.347000,2600.135000
160000000,2510.531000,2767.690000
170000000,2936.310000,2697.259000
180000000,2995.668000,3249.489000
190000000,3044.544000,3304.858000
200000000,3206.774000,3481.358000
