100,0.019000
1000,0.643000
10000,0.080000
100000,0.788000
1000000,8.723000
10000000,144.363000
20000000,340.282000
30000000,533.873000
40000000,731.910000
50000000,912.319000
60000000,1128.990000
70000000,1295.985000
80000000,1512.889000
90000000,1718.507000
100000000,1915.414000
110000000,2128.152000
120000000,2274.875000
130000000,2583.282000
140000000,2690.372000
150000000,2989.613000
160000000,3162.740000
170000000,3445.283000
180000000,3690.097000
190000000,3740.741000
200000000,3879.124000
